_id,state_id,division_id,parliament_id,assembly_id,party_id,year_id,candidate_id,total_electors,total_votes,margin,margin_percentage,created_by,assembly_no,poll_percentage,type
68bac639ff370da694e2632d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20657d,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895a419e35251fb743239be,195207,112663,11426,0.101,684ab4dce856ee7729dde255,9,0.577,GEN
68bac639ff370da694e2632e,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20657e,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,688777c776bc0350acbf5676,222954,124442,5993,0.048,684ab4dce856ee7729dde255,10,0.558,GEN
68bac639ff370da694e26331,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20657e,6872515c33ac34cbce8afc98,68774476dff1e9c4616e78dc,68931c8328b5a7a167270349,247069,146980,35896,0.244,684ab4dce856ee7729dde255,10,0.595,GEN
68bac639ff370da694e26334,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20657f,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,68931c8328b5a7a1672702ea,222330,144255,6273,0.043,684ab4dce856ee7729dde255,11,0.649,GEN
68bac639ff370da694e26335,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20657f,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702ea,240172,154500,9073,0.059,684ab4dce856ee7729dde255,11,0.643,GEN
68bac639ff370da694e26338,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206580,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270322,250218,162127,25814,0.159,684ab4dce856ee7729dde255,12,0.648,GEN
68bac639ff370da694e26339,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206580,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895b201e35251fb74323c1e,229490,140823,1273,0.009,684ab4dce856ee7729dde255,12,0.614,GEN
68bac639ff370da694e2633c,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206581,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270341,208677,128674,23989,0.186,684ab4dce856ee7729dde255,13,0.617,SC
68bac639ff370da694e2633d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206581,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895a419e35251fb743239ee,191584,112618,19814,0.176,684ab4dce856ee7729dde255,13,0.588,SC
68bac639ff370da694e26340,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206582,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,68931c8328b5a7a1672702d6,201403,123663,11938,0.097,684ab4dce856ee7729dde255,14,0.614,GEN
68bac639ff370da694e26341,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206582,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702d6,224607,154055,1517,0.01,684ab4dce856ee7729dde255,14,0.686,GEN
68bac639ff370da694e26342,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206583,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,688777c776bc0350acbf567b,279758,174567,21044,0.121,684ab4dce856ee7729dde255,15,0.624,GEN
68bac639ff370da694e26345,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206583,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895b201e35251fb74323c1f,257605,154326,15561,0.101,684ab4dce856ee7729dde255,15,0.599,GEN
